mass,limit_95,med_limit,2sigma_up,1sigma_up,1sigma_down,test_statistic
0.13772,1.3227806492055553e-09,1.186250798272173e-09,1.7647967885931746e-09,1.5036131856097466e-09,7.439915977637062e-10,0.40478570119831464
0.13777,1.2888198703388942e-09,1.1799676462705978e-09,1.7573784076875774e-09,1.496782060498587e-09,7.377472537462562e-10,0.3137331833555874
0.13781,1.2423827587908184e-09,1.181349197002243e-09,1.7584060904904001e-09,1.4979241801797403e-09,7.398760666636705e-10,0.1749810790878836
0.13786,1.2811226359321404e-09,1.1830327563421646e-09,1.7599935623536986e-09,1.4995224477035268e-09,7.420035884345522e-10,0.28828889697516763
0.1379,1.314912849217762e-09,1.180772314776989e-09,1.7585932001612436e-09,1.4977977345843743e-09,7.383250466970856e-10,0.3914826853013548
0.13795,1.4148876971889906e-09,1.1809549019174072e-09,1.756996483702065e-09,1.4969363341928385e-09,7.406382573581872e-10,0.7212263274123832
0.13799,1.4153835330052112e-09,1.1771100834930926e-09,1.7538372084386594e-09,1.4935658559928228e-09,7.351850031516191e-10,0.7257112630958175
0.13804,1.329779011681432e-09,1.1735265100896862e-09,1.7470562987387113e-09,1.488174141357111e-09,7.346489933941332e-10,0.466732325038915
0.13808,1.2411698607892678e-09,1.1686437831727564e-09,1.7389335895167538e-09,1.4814846126891236e-09,7.325869575519777e-10,0.21330899550160373
0.13813,1.203913665915219e-09,1.171473777499028e-09,1.7413013347938224e-09,1.484050104301105e-09,7.350843233438848e-10,0.09443158294147509
0.13817,1.1887436372759628e-09,1.1686969050861888e-09,1.7399479706646177e-09,1.4820996246662818e-09,7.315141091218051e-10,0.05618583496926501
0.13822,1.1143682816684054e-09,1.1704187761946922e-09,1.7421181578544338e-09,1.4840657233778826e-09,7.329761124574103e-10,-0.15341303767132647
0.13826,9.086311454151739e-10,1.1712917476190205e-09,1.7420309801532003e-09,1.4843537303200982e-09,7.352075086870845e-10,-0.6518103179804593
0.13831,7.359024815060918e-10,1.171962585956721e-09,1.742801086478474e-09,1.48506883901793e-09,7.359024815060918e-10,-1.311878390247682
0.13835,7.341806706649431e-10,1.1700406043048173e-09,1.7403798199729677e-09,1.482890078340561e-09,7.341806706649431e-10,-1.5837211537260127
0.1384,7.128159161538555e-10,1.1564567689533033e-09,1.7310844584363524e-09,1.4720721372886054e-09,7.128159161538555e-10,-1.550262137497264
0.13844,7.167583136927575e-10,1.1582831118822741e-09,1.7313922887318285e-09,1.4729756739571704e-09,7.167583136927575e-10,-1.2891839417723077
0.13848,7.64527127410982e-10,1.1654164642325341e-09,1.7361690892901292e-09,1.4785944998663919e-09,7.281121973112025e-10,-0.9389757422365509
0.13853,1.1149314287610933e-09,1.164978952566737e-09,1.734187750621846e-09,1.4772587127997654e-09,7.294194557861123e-10,-0.13832821881570614
0.13857,1.3732275649040175e-09,1.1615866027695904e-09,1.730043822874983e-09,1.4734896269364949e-09,7.262142769145999e-10,0.649493695779508
0.13862,1.6187660527295456e-09,1.1668239463069925e-09,1.7328810422443526e-09,1.4772199423959002e-09,7.354039512008806e-10,1.5477061904388185
0.13866,1.7150002006131359e-09,1.1646168879258043e-09,1.7304050215408476e-09,1.474893719775976e-09,7.33070660305056e-10,1.9463705446731916
0.13871,1.6903858594230808e-09,1.1592424704527092e-09,1.727110382465862e-09,1.470840227150059e-09,7.241072629187541e-10,1.8418452417260005
0.13875,1.5941570054816944e-09,1.157182839273446e-09,1.7261163779859652e-09,1.4694436805009874e-09,7.203709781607064e-10,1.453531456433685
0.1388,1.4211989830868207e-09,1.1612034611061315e-09,1.7294245695007079e-09,1.4729699990800442e-09,7.260632363764521e-10,0.8146673131448212
0.13884,9.84960539553962e-10,1.156113015317776e-09,1.721737520354044e-09,1.466454133632866e-09,7.229868846454274e-10,-0.4528596837925037
0.13889,9.60073281698788e-10,1.1568887270141851e-09,1.722437240244081e-09,1.4671690119399138e-09,7.240228221634526e-10,-0.5127467806769438
0.13893,9.624931596530346e-10,1.1515000527246476e-09,1.7141589900079952e-09,1.4601851720750197e-09,7.209544111825276e-10,-0.4957339116964369
0.13898,9.485601132510658e-10,1.1511286206611828e-09,1.7125770862029767e-09,1.4591097061143293e-09,7.219484365530618e-10,-0.5255823092721329
0.13902,1.0229745116625655e-09,1.1498650577978175e-09,1.7108001668568302e-09,1.4575688590156764e-09,7.21031761787757e-10,-0.34050403344157704
0.13907,1.069076269914778e-09,1.1479104504612774e-09,1.7096258754714848e-09,1.4561095548813989e-09,7.177410746075258e-10,-0.22071693769776776
0.13911,1.1267980714193222e-09,1.1488628552022234e-09,1.7101044369058412e-09,1.4567665760962718e-09,7.194496570571071e-10,-0.06226445872535892
0.13916,1.1309611083248285e-09,1.1480461459306527e-09,1.7094041636830924e-09,1.4560345868099686e-09,7.183190966292891e-10,-0.05003518372629403
0.1392,1.2466193726445875e-09,1.15122821408073e-09,1.712946318116091e-09,1.459368650829286e-09,7.217298857446521e-10,0.28699070915862324
0.13925,1.2589004393472178e-09,1.1502119837204289e-09,1.7124160824108846e-09,1.4586571359293343e-09,7.19922996717417e-10,0.3246080707245317
0.13929,1.2286611659530526e-09,1.1504214024495232e-09,1.71268762260168e-09,1.458898107750891e-09,7.201079346707479e-10,0.2306348490121975
0.13934,1.1750199283470388e-09,1.1507760156192292e-09,1.7130503997779966e-09,1.4592514840917346e-09,7.205224923033905e-10,0.06998082309526767
0.13938,1.1654579613046913e-09,1.15085009841103e-09,1.7130818965023007e-09,1.4592988779097902e-09,7.20664363821713e-10,0.042256587061050774
0.13943,1.13753448409386e-09,1.150251423299305e-09,1.7125989823196831e-09,1.4587793048822712e-09,7.198046817714427e-10,-0.037321851360934695
0.13948,1.1467206309167993e-09,1.1484799482457246e-09,1.7097537469141045e-09,1.4564105260225966e-09,7.189443061922663e-10,-0.005479087249290178
0.13952,1.130954385959183e-09,1.1427660941671305e-09,1.701634494764778e-09,1.44936752329654e-09,7.150328672724405e-10,-0.03517131739543908
0.13957,1.0737491039537606e-09,1.1428281720666074e-09,1.7010247820126987e-09,1.4490586680842574e-09,7.157795586371129e-10,-0.19227195548133658
0.13961,9.947143760205526e-10,1.1407938879792072e-09,1.6988557855287963e-09,1.4469828617427972e-09,7.134883752192147e-10,-0.3960812268537412
0.13966,9.208493907673978e-10,1.1440757088073749e-09,1.7015684356310864e-09,1.4498496732410836e-09,7.182353375952139e-10,-0.5755881738120826
0.1397,9.19120707174582e-10,1.1426847777771056e-09,1.7001273544876616e-09,1.4484732889585592e-09,7.165163034935665e-10,-0.5786557056044646
0.13975,9.467822982341772e-10,1.134700167566198e-09,1.6883889213504087e-09,1.4384362724555092e-09,7.11333099419441e-10,-0.49790447945893035
0.13979,1.0068400093852043e-09,1.1324574236737501e-09,1.6862220919014273e-09,1.4362809952622476e-09,7.085302450788493e-10,-0.34594370230621185
0.13984,1.1250849670663457e-09,1.1334103867471054e-09,1.6869845824927152e-09,1.4371048219735387e-09,7.099035113856295e-10,-0.02336981239211278
0.13988,1.2570084159562388e-09,1.132643407393217e-09,1.6864945805123598e-09,1.4365144096680125e-09,7.086509995774759e-10,0.37906290228116996
0.13993,1.4067692128608694e-09,1.1337918176486263e-09,1.68808162233232e-09,1.4378981056279675e-09,7.095195293912071e-10,0.8856202995418953
0.13997,1.4733361185704568e-09,1.134679045167107e-09,1.6878059493569704e-09,1.4380854688614868e-09,7.119783164419176e-10,1.1360082479850888
0.14002,1.4827753871228012e-09,1.1358151101275827e-09,1.6887203251165634e-09,1.439069160865319e-09,7.136214169460307e-10,1.1708482448001414
0.14006,1.3993399170977277e-09,1.134345243804073e-09,1.6878111159315508e-09,1.4379560975494862e-09,7.111762236469796e-10,0.8624917925321826
0.14011,1.2759487009195388e-09,1.1337933664768707e-09,1.6877882363937143e-09,1.437725021965341e-09,7.098808760364668e-10,0.43823904185293755
0.14015,1.0445271421180053e-09,1.1326924992586608e-09,1.6869089793104469e-09,1.4367765351195196e-09,7.082791657718067e-10,-0.24846670128659565
0.1402,8.810933711871537e-10,1.1330503403396722e-09,1.6871572997824955e-09,1.4370643818339672e-09,7.088349074237292e-10,-0.6512919315235653
0.14024,7.985209483832741e-10,1.1345942240447423e-09,1.6880817215842238e-09,1.4382162934038574e-09,7.114317707543764e-10,-0.8285950259010011
0.14029,7.309340772725298e-10,1.1282993810973207e-09,1.6800669464662842e-09,1.4310301430066977e-09,7.058765234913417e-10,-0.9552988080728638
0.14034,7.825279639843556e-10,1.1282047606813789e-09,1.6790679571119747e-09,1.4304061262930531e-09,7.068393049789164e-10,-0.852909088142447
0.14038,8.720423561437368e-10,1.1260263833066364e-09,1.6771991463757961e-09,1.4284495816722653e-09,7.038471780656641e-10,-0.6604862743330879
0.14043,9.944396256289056e-10,1.1245545645517037e-09,1.6741356467518957e-09,1.4260705465270398e-09,7.039650754092798e-10,-0.35897897884533053
0.14047,1.142196429673804e-09,1.1250225594701132e-09,1.6744632137647894e-09,1.426446376090243e-09,7.047027754417303e-10,0.051491968673594346
0.14052,1.2442588693142558e-09,1.12489913417972e-09,1.6741642553257573e-09,1.4262216946458226e-09,7.047657937128799e-10,0.3691651138958746
0.14056,1.311458627191203e-09,1.1260621803667503e-09,1.6750281379826344e-09,1.4271865891906218e-09,7.065312014169623e-10,0.5921881788167489
0.14061,1.3237226299034796e-09,1.1199327696060668e-09,1.6681602221181336e-09,1.4207383380894662e-09,7.000119800103308e-10,0.6479502353526844
0.14065,1.3242224517991422e-09,1.1162829197183963e-09,1.660893818608777e-09,1.4150334985226504e-09,6.99909076846781e-10,0.6740281974718435
0.1407,1.2387179567192543e-09,1.1123098070345458e-09,1.6555066680053593e-09,1.4103054726761979e-09,6.967901776089733e-10,0.3963833864298603
0.14074,1.1522556554746026e-09,1.1036591182844368e-09,1.6425247012879526e-09,1.3992747973962107e-09,6.914965515087982e-10,0.1495784269209431
0.14079,9.944001755145463e-10,1.103433354770753e-09,1.6413912058178882e-09,1.3985222229936655e-09,6.92293638133126e-10,-0.30549548980016905
0.14084,9.78413535593354e-10,1.101060823271827e-09,1.639346508294516e-09,1.3963867877408644e-09,6.890377182599381e-10,-0.346937997307776
0.14088,9.307593542554232e-10,1.0994865460956199e-09,1.6377657690569938e-09,1.394839636742304e-09,6.871378438545339e-10,-0.4689340487876681
0.14093,9.302579117427093e-10,1.0990620873595854e-09,1.6370690983232438e-09,1.3942635031348546e-09,6.869480878008093e-10,-0.46912806215287073
0.14097,8.497931003985112e-10,1.100338419719504e-09,1.637648611028556e-09,1.395107501915276e-09,6.893122712627719e-10,-0.6631311249974652
0.14102,8.97099190377947e-10,1.0974271030108341e-09,1.6350400385192794e-09,1.3924271703333274e-09,6.854483168219705e-10,-0.5491683122529881
0.14106,9.735382225713067e-10,1.0998269770749546e-09,1.6363191404421323e-09,1.3941243616925074e-09,6.896749984235745e-10,-0.3535449558412865
