mass,limit_95,med_limit,2sigma_up,1sigma_up,1sigma_down,test_statistic
0.10651,2.4021449936078366e-09,2.9887419143317763e-09,4.446352369519655e-09,3.78830455967249e-09,1.8745590243368153e-09,-0.5799481159559027
0.10654,2.751690188521605e-09,2.9816196323747397e-09,4.435099250302131e-09,3.778884953388373e-09,1.870911560331128e-09,-0.23997435035848128
0.10658,2.9089129071360724e-09,2.969877226388562e-09,4.421527787612313e-09,3.766277320119009e-09,1.8589788896521866e-09,-0.06742770565790623
0.10662,2.929364343097165e-09,2.9639555048506694e-09,4.412371909328904e-09,3.7585654780112675e-09,1.8556918445276491e-09,-0.038300596967056164
0.10665,2.8661229102368975e-09,2.958231067016781e-09,4.40348690717867e-09,3.7511013893374095e-09,1.8524910089677043e-09,-0.1005604030005903
0.10669,2.7199664269934992e-09,2.952367541910762e-09,4.391514508720639e-09,3.74176863489976e-09,1.8526367400232726e-09,-0.24476789001690208
0.10673,3.092566217921593e-09,2.946310070153334e-09,4.3865759138527105e-09,3.736490303135741e-09,1.8439319936653407e-09,0.16625421252499592
0.10676,3.031787864934961e-09,2.936914847979924e-09,4.3714535775716956e-09,3.7238975093360554e-09,1.8394740051507297e-09,0.10869288496583385
0.1068,3.08414844486663e-09,2.926562396395731e-09,4.357081662640513e-09,3.7113735571243657e-09,1.831793409137515e-09,0.18112102093975382
0.10684,3.082282221004033e-09,2.9178411324316693e-09,4.34356735593706e-09,3.70000188906424e-09,1.8269664209584634e-09,0.19065042518274805
0.10687,3.039522820387874e-09,2.917423198333392e-09,4.34232861342041e-09,3.6991165646368704e-09,1.8273990787824953e-09,0.14144834506481815
0.10691,2.926276884024229e-09,2.872480182174594e-09,4.275645457933911e-09,3.642258029733714e-09,1.7989771630743171e-09,0.06269700524209644
0.10695,2.4457546699266155e-09,2.824354478537836e-09,4.2104940058916e-09,3.585045280648566e-09,1.7611133136254712e-09,-0.4179294486267778
0.10698,2.3737260333137287e-09,2.81521632099544e-09,4.1971387255245684e-09,3.5736193760271872e-09,1.7550068343049925e-09,-0.48197116304998794
0.10702,2.201658636299844e-09,2.804862290950432e-09,4.1756495027066404e-09,3.556921262680966e-09,1.7557425372717556e-09,-0.6317536450506761
0.10706,2.3698005227830914e-09,2.7935132256233484e-09,4.165385798343552e-09,3.5464312538933176e-09,1.7407223649114065e-09,-0.4683795851646623
0.10709,2.7171271161823395e-09,2.799051171785766e-09,4.166611274605125e-09,3.5493254413775466e-09,1.7525637619490034e-09,-0.09491794687470079
0.10713,2.876352504823955e-09,2.7966937685819525e-09,4.163545498170565e-09,3.5465713297116705e-09,1.7507151204000455e-09,0.09454934113742909
0.10717,3.2716572194589613e-09,2.746172482104787e-09,4.092755278258173e-09,3.4850739838636533e-09,1.7139925831294223e-09,0.6802162710745514
0.1072,3.4073713349653406e-09,2.7620839431140573e-09,4.099602505959269e-09,3.4953447285820265e-09,1.7441598947824192e-09,0.8858485246786862
0.10724,3.5199316447817753e-09,2.757465840352289e-09,4.090624822174985e-09,3.4882391077658206e-09,1.7438817477128972e-09,1.070239826575614
0.10728,3.79458139003398e-09,2.7350572601689434e-09,4.076184390769379e-09,3.4709356876776148e-09,1.7072380042000645e-09,1.509200227070108
0.10731,3.777253867864068e-09,2.767799180254611e-09,4.097274224093638e-09,3.4962230147498606e-09,1.760821867024186e-09,1.4819056682135057
0.10735,3.6722457503107162e-09,2.7312621606011254e-09,4.06063208520748e-09,3.460343770652923e-09,1.7164349248681676e-09,1.3429127845393072
0.10738,3.154281691414227e-09,2.7271975647689007e-09,4.0634984891035116e-09,3.4604251958391607e-09,1.703265454476484e-09,0.5483667093301011
0.10742,2.0606328066670065e-09,2.7218532701232672e-09,4.054972465227829e-09,3.453340098347714e-09,1.7004344195145915e-09,-0.704805393981379
0.10746,1.7266840534701142e-09,2.7397409378802706e-09,4.068819409722978e-09,3.4685492482376724e-09,1.7266840534701142e-09,-1.7414559147074051
0.10749,1.698920789252127e-09,2.7228001427895656e-09,4.0579304232440134e-09,3.455494340418936e-09,1.698920789252127e-09,-2.2161839658083187
0.10753,1.6696104954888106e-09,2.710318373376033e-09,4.057733082538482e-09,3.450434466497242e-09,1.6696104954888106e-09,-2.1282485845228223
0.10757,1.750890941252008e-09,2.7622842192112017e-09,4.0939025582232635e-09,3.49217258344893e-09,1.750890941252008e-09,-1.7134317533359273
0.1076,1.7030197245745679e-09,2.7333419249041614e-09,4.077513636897526e-09,3.471161858598156e-09,1.7008013311075447e-09,-1.0113820115765733
0.10764,2.3537631621848904e-09,2.728673989618743e-09,4.065122351773641e-09,3.462036132097985e-09,1.7043808761281676e-09,-0.4247654654180739
0.10768,2.3612619158437934e-09,2.7351450698596508e-09,4.070348645235263e-09,3.467656441530473e-09,1.71366388860336e-09,-0.41796714956186287
0.10771,2.7164993844712954e-09,2.7199580562024244e-09,4.0486797881928645e-09,3.4489493024151163e-09,1.7030422473731749e-09,-0.004305525144146577
0.10775,2.4275359748589608e-09,2.696908447433344e-09,4.017116751477073e-09,3.421329623962445e-09,1.6853763200613402e-09,-0.3154975292985672
0.10779,2.4001781647068884e-09,2.697112617369163e-09,4.015865193820084e-09,3.4206587906735676e-09,1.687454909857185e-09,-0.34355207302529234
0.10782,2.479343332184883e-09,2.6913976954349988e-09,4.009424829357928e-09,3.4145984608609754e-09,1.6815869402740784e-09,-0.25279398385819724
0.10786,2.6885845055785437e-09,2.691131537330993e-09,4.0062119766470256e-09,3.412571607492174e-09,1.6849878137327282e-09,-0.003101887679585567
